Strain, Type, Content 
Josh D OG, indica,  
Tuna OG, hybrid, THC 18% 
Ultra Banana, indica, THC 23% 
Ultra Sour, sativa, THC 20% 
Vader OG, indica, THC 25% 
Versace, sativa, THC 25% 
Vietnamese Bubba, sativa, THC 20% 
Violeta, indica, THC 20% 
Wakanda OG, sativa,  
Washing Machine, indica, THC 20% 
Wembley, indica, THC 16% 
Swazi Gold, sativa, THC 27% 
White Tahoe Cookies, indica, THC 29% 
Sweet and Sour Widow, indica, THC 11% / CBD 8% 
Where's My Bike, sativa, THC 26% 
White 99, sativa, THC 25% 
White Bastard, indica, THC 20% 
Tangerine Sunrise, sativa, THC 16% 
White Bubblegum, indica,  
Cheesewreck, sativa, THC 24% 
Fire Alien Strawberry, indica, THC 20% 
White Urkle, hybrid, THC 23% 
White Caramel Cookie, indica, THC 22% 
White Coco, hybrid, THC 21% / CBD 1% 
White Domina, indica, THC 22% 
South Asian, sativa, THC 10% 
Sunlight Skunk, hybrid, THC 22% 
Chem Valley Kush, sativa, THC 30% 
Special Kush #1, indica, THC 17% 
Sumo Grande, sativa, THC 31% 
Purple Cotton Candy, indica, THC 19% 
Superstar, sativa, THC 23% 
Purple Buddha, hybrid, THC 15% 
Turbo Mind Warp, sativa, THC 28% 
Snow Bud, sativa, THC 12% 
Biddy Early, hybrid, THC 22% 
Secret Garden OG, indica, THC 20% 
Shangri-La, sativa, THC 22% 
South Indian, sativa, THC 15% 
Silver Train, sativa, THC 24% 
Extreme Cream, indica, THC 20% 
Faded Glory, sativa, THC 0% 
King Henry VIII, hybrid, THC 18% 
Sierra Mist, hybrid, THC 15% 
South American, sativa, THC 19% 
Shipwreck, sativa, THC 15% 
Skins Skunk, indica, THC 21% 
Purple Cow, sativa, THC 19% 
Butter OG, indica, THC 24% 
Blackberry Snow Cone, indica, THC 22% 
Black Lotus, indica, THC 25% 
Loud Dream, indica, THC 16% 
Rise 'n' Shine, sativa, THC 28% 
Alice In Wonderland, sativa, THC 23% 
Purple Alien OG, indica, THC 17% 
Citrus Kush, indica, THC 18% 
Birds of Paradise, sativa, THC 24% 
Black Afghan, indica, THC 24% 
G1000, indica, THC 24% 
Shooting Star, indica, THC 19% 
Old Mother Sativa, sativa, THC 17% 
Pink Cookies, hybrid, THC 24% 
Belladonna, sativa, THC 26% 
OG Diesel Kush, hybrid, THC 20% 
Dream Star, indica, THC 25% 
Black Magic, indica, THC 22% 
Mother’s Milk, sativa, THC 16% 
African, sativa, THC 10% 
GDP Electric, hybrid, THC 0% 
Ghetto Bird, hybrid, THC 0% 
Deep Breath, hybrid,  
Grandma's Batch, indica, THC 20% 
White Siberian, indica, THC 15% / CBD 4% 
Hawaiian Mayan Gold, sativa, THC 23% 
Hammershark, indica, THC 6% / CBD 6% 
Harley Storm, sativa, THC 1% / CBD 22% 
Juicy Jack, hybrid, THC 25% 
Horace, sativa, THC 30% 
Sugar Mama, hybrid, THC 19% 
Ray Charles, indica, THC 21% 
K-Train, hybrid, THC 22% 
Deep Cheese, indica, THC 0% 
Honey Rock, indica, THC 20% 
Cherry Durban Poison, sativa, THC 25% 
Puna Budder, hybrid, THC 22% 
White Cheese, hybrid, THC 16% / CBD 4% 
Sour Chocolate, sativa, THC 24% 
Rainbow Jones, indica, THC 18% 
Pirate Radio, sativa, THC 28% 
Blackberry Cream, indica, THC 25% 
Ether, indica, THC 21% 
G.O.A.T., sativa, THC 19% / CBD 19% 
Ace Killer OG, indica, THC 27% / CBD 2% 
Lucifer OG, indica, THC 0% 
Lost Coast Ghost, indica, THC 26% 
Mean Misty, sativa, THC 20% 
Mango Habanero, indica, THC 17% 
iPot, sativa, THC 22% 
Logic Diesel, hybrid, THC 25% 
Pagoda, sativa, THC 22% 
Pearl Scout Cookies, indica, THC 27% 
Little Devil, indica, THC 60% 
Pure Love, indica, THC 14% / CBD 28% 
Jack Widow, indica, THC 20% 
Industrial Plant, hybrid, THC 23% 
Negra 44, indica, THC 11% 
Jack Kush, sativa, THC 19% 
Majestic 12, hybrid, THC 0% 
Manitoba Poison, hybrid, THC 16% 
Maui Berry, indica, THC 16% 
Damn Sour, sativa, THC 22% 
Maui Bubble Gift, indica, THC 9% / CBD 11% 
Kelly Hill Gold, indica, THC 25% 
Mau-Mau, indica, THC 18% 
M-39, hybrid, THC 14% 
Little Dragon, sativa, THC 28% 
LA Jack, sativa, THC 24% 
LA Ultra, indica, THC 30% 
Lethal Purple, indica, THC 25% 
Travel Joint, indica, THC 24% 
Loyalty, indica, THC 25% 
Buddha's Tooth, indica, THC 26% 
Purple Sour Diesel, sativa, THC 21% 
Bazooka Joe, indica, THC 18% 
Higher Power, sativa, THC 24% 
Carpet Tape, hybrid, THC 27% 
California Love OG, hybrid, THC 23% 
King Kush, indica, THC 20% 
Chuck OG, hybrid, THC 29% 
Cookie Wreck, hybrid, THC 20% / CBD 4% 
Orange Skunk, sativa, THC 16% 
Purple Arrow, indica, THC 24% / CBD 4% 
Big Kush, hybrid, THC 25% 
Or, indica, THC 24% 
Gold King's Thai, sativa, THC 20% 
Brazil Amazonia, sativa, THC 19% 
Atomic Bomb, hybrid, THC 26% 
Early Miss, indica, THC 21% 
CBD Shark, indica, THC 10% / CBD 10% 
Black Cherry OG, hybrid, THC 18% 
Walter White, sativa, THC 21% 
LA Chocolat, indica, THC 29% 
OG Chem, sativa, THC 20% / CBD 1% 
Black Haze, sativa, THC 22% 
Bedford Glue, hybrid, THC 24% 
Buckeye Purple, indica, THC 20% 
Dutch Kush, indica, THC 25% 
Bubba Berry, indica, THC 17% 
Pacific Blue, indica, THC 28% 
Frida, indica, THC 1% / CBD 12% 
Critical 47, hybrid, THC 18% 
Blue Bastard, indica, THC 23% 
Titanium, hybrid, THC 22% 
Dreadlock, hybrid, THC 22% 
Fat Nelson, sativa, THC 22% 
God's Treat, indica, THC 22% 
Grand Hustle, hybrid, THC 23% 
Blue Galaxy, indica, THC 22% 
Glad Max, hybrid, THC 21% 
Cotton Purple Chem, hybrid, THC 20% 
Blue Mountain Fire, sativa, THC 15% 
Disney Blue, hybrid, THC 24% 
California Sour, hybrid, THC 20% 
Critical Skunk, sativa, THC 24% 
Cherry Grapefruit, sativa, THC 20% 
DJ Smoke, sativa, THC 18% 
Eugene Cream, indica, THC 16% 
Brainwreck, hybrid, THC 18% 
Cherry Sherbet, indica, THC 23% 
Blackberry Pie, hybrid, THC 19% 
Purple People Eater, indica, THC 23% 
Mexican, sativa, THC 16% 
Dutch Berry, sativa, THC 27% / CBD 8% 
Pie Face, indica, THC 19% 
Shoreline, sativa, THC 23% 
Blueberry Diesel, indica, THC 23% 
Big Wreck, indica, THC 27% 
Blueberry Yum Yum, sativa, THC 25% 
Mt Rainier, hybrid, THC 23% 
Maui, sativa, THC 26% 
Deep Sleep, indica, THC 20% 
Neptune OG, hybrid, THC 23% 
Mango Haze, hybrid, THC 19% 
Morning Star, sativa, THC 24% 
Mt Cook, indica, THC 23% 
Appalachia, hybrid, THC 21% 
Hog, indica, THC 23% 
LA Woman, hybrid, THC 28% 
Sugar Plum, sativa, THC 26% 
Blue Sky, indica, THC 19% 
Cherry Skunk, indica, THC 22% 
Mammoth, hybrid, THC 21% 
Willy Wonka, sativa, THC 28% 
Misty Morning, indica, THC 10% 
Golden Gage, sativa, THC 19% 
Electric Black Mamba, indica, THC 24% / CBD 2% 
Goat Head, sativa, THC 29% 
Gilz Nilz, hybrid, THC 0% 
Chloe, sativa, THC 23% 
Purple Dog Shit, indica, THC 20% 
Krystalica, sativa, THC 20% 
Critical Cheese, hybrid, THC 19% 
Northern Wreck, indica, THC 29% 
Mother's Finest, sativa, THC 19% 
Mother's Helper, hybrid, THC 25% 
Mercury OG, indica, THC 24% 
Rebel God Smoke, sativa, THC 28% 
The Third Dimension, sativa, THC 21% 
Eagle Bill, sativa, THC 20% 
Nexus OG, indica, THC 19% 
Easy Peezy, hybrid, THC 18% 
Ridge Berry, sativa, THC 16% 
X Wing, indica, THC 26% 
Alien Breath, hybrid, THC 0% 
North American Sativa, sativa, THC 11% 
NY Cheese, sativa, THC 15% 
Godzilla Glue, hybrid, THC 19% 
Nurse Jackie, sativa, THC 24% 
UBC Chemo, indica, THC 29% 
Double Dream, sativa, THC 26% 
Ill OG, indica, THC 23% 
Banana Split, indica, THC 25% 
NYPD, sativa, THC 24% 
Cheesequake, indica, THC 22% 
Super Critical, indica, THC 18% 
Green Candy, hybrid, THC 24% 
Pineapple Kush, indica, THC 17% 
Black Domina, indica, THC 20% 
Cherry OG, hybrid, THC 23% 
Jack's Girl, hybrid, THC 54% 
Purple Champagne, sativa, THC 29% 
Cookie Dough, hybrid, THC 25% 
Purple Widow, indica, THC 22% / CBD 1% 
Jack's Cleaner, sativa, THC 17% 
Chocolate Kush, indica, THC 28% 
Silver Kush, sativa, THC 24% 
Peyton Manning, sativa, THC 22% 
Dutch Dragon, sativa, THC 20% 
Charlotte's Web, hybrid, THC 1% / CBD 12% 
Gypsy Kush, indica, THC 20% 
Ice, hybrid, THC 20% 
Super Silver Lights, indica, THC 23% / CBD 1% 
The Real McCoy, sativa, THC 14% / CBD 1% 
Sumo's OG Kush, indica, THC 20% / CBD 3% 
Summer Breeze, hybrid, THC 23% / CBD 1% 
Sweet Pure CBD, sativa, THC 1% / CBD 15% 
Sweet Jesus, sativa,  
Sweet Harlem Diesel, sativa, THC 16% 
Beyond the Brain, sativa, THC 25% / CBD 1% 
Diamond Socks, hybrid, THC 24% 
